ID, Output
1,0
2,1
3,1
4,0
5,1
6,1
7,0
8,1
9,0
10,0
11,1
12,0
13,1
14,1
15,1
16,1
17,0
18,0
19,1
20,1
21,0
22,0
23,0
24,0
25,1
26,0
27,1
28,1
29,0
30,1
31,0
32,1
33,0
34,1
35,1
36,1
37,1
38,0
39,1
40,1
41,1
42,1
43,0
44,1
45,0
46,1
47,0
48,1
49,0
50,1
51,1
52,0
53,1
54,0
55,1
56,1
57,0
58,0
59,1
60,0
61,1
62,1
63,1
64,1
65,0
66,1
67,0
68,1
69,1
70,1
71,0
72,0
73,0
74,0
75,1
76,1
77,1
78,0
79,0
80,1
81,1
82,1
83,1
84,0
85,1
86,0
87,1
88,1
89,1
90,1
91,0
92,0
93,0
94,1
95,0
96,1
97,1
98,1
99,0
100,0
101,1
102,0
103,1
104,1
105,1
106,0
107,0
108,1
109,1
110,0
111,0
112,0
113,1
114,1
115,1
116,0
117,1
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,1
126,0
127,0
128,1
129,1
130,1
131,0
132,0
133,1
134,1
135,1
136,0
137,1
138,0
139,0
140,0
141,1
142,0
143,0
144,0
145,0
146,1
147,0
148,0
149,1
150,1
151,1
152,0
153,1
154,0
155,0
156,1
157,1
158,1
159,0
160,0
161,0
162,0
163,1
164,0
165,0
166,0
167,1
168,0
169,1
170,1
171,0
172,0
173,1
174,1
175,1
176,1
177,1
178,0
179,0
180,0
181,0
182,0
183,0
184,1
185,0
186,0
187,1
188,0
189,0
190,1
191,0
192,0
193,1
194,1
195,1
196,0
197,1
198,0
199,1
200,1
201,1
202,1
203,1
204,1
205,0
206,0
207,1
208,1
209,1
210,1
211,0
212,1
213,1
214,1
215,0
216,1
217,1
218,0
219,1
220,1
221,0
222,0
223,1
224,0
225,0
226,1
227,1
228,1
229,0
230,0
231,0
232,0
233,1
234,0
235,1
236,1
237,1
238,1
239,0
240,0
241,1
242,0
243,0
244,0
245,1
246,1
247,0
248,1
249,1
250,1
251,0
252,0
253,1
254,0
255,1
256,1
257,0
258,0
259,0
260,0
261,0
262,1
263,0
264,1
265,1
266,1
267,0
268,0
269,1
270,0
271,0
272,0
273,1
274,0
275,1
276,0
277,0
278,1
279,0
280,1
281,1
282,0
283,0
284,1
285,0
286,1
287,1
288,0
289,0
290,1
291,0
292,1
293,0
294,1
295,1
296,1
297,1
298,0
299,0
300,0
